ft,bt,transmission,price,Seats,Mileage,city
Petrol,MUV,Automatic,7.7,7,18.2,bangalore
Petrol,Hatchback,Automatic,8.18,5,21.4,bangalore
Petrol,SUV,Manual,7.24,5,17.0,bangalore
Petrol,Hatchback,Automatic,4.68,5,26.0,bangalore
Petrol,Sedan,Manual,5.0,5,14.69,bangalore
Diesel,SUV,Manual,6.0,5,22.77,bangalore
Diesel,SUV,Manual,13.5,7,16.0,bangalore
Petrol,Hatchback,Manual,5.25,5,18.9,bangalore
Petrol,Hatchback,Manual,1.75,5,15.3,bangalore
Petrol,Sedan,Automatic,7.25,5,19.12,bangalore
Petrol,Hatchback,Manual,5.5,5,18.9,bangalore
Petrol,Hatchback,Manual,6.5,5,22.0,bangalore
Petrol,Hatchback,Automatic,7.75,5,18.2,bangalore
Petrol,Sedan,Manual,9.0,5,17.0,bangalore
Petrol,Hatchback,Manual,4.08,5,22.05,bangalore
Petrol,Hatchback,Automatic,6.42,5,18.9,bangalore
Petrol,Sedan,Manual,9.0,5,17.0,bangalore
Petrol,Hatchback,Automatic,5.21,5,22.5,bangalore
Petrol,MUV,Manual,6.95,7,20.0,bangalore
Petrol,Hatchback,Manual,3.9,5,23.95,bangalore
Petrol,Hatchback,Manual,4.29,5,23.84,bangalore
Petrol,Sedan,Manual,5.2,5,18.5,bangalore
Petrol,Hatchback,Automatic,6.25,5,20.52,bangalore
Petrol,Hatchback,Manual,6.01,5,21.46,bangalore
Diesel,SUV,Manual,13.0,5,17.1,bangalore
Petrol,Hatchback,Automatic,6.45,5,18.9,bangalore
Diesel,SUV,Automatic,19.75,7,12.07,bangalore
Petrol,Hatchback,Manual,6.95,5,18.6,bangalore
Petrol,Sedan,Manual,5.0,5,14.69,bangalore
Diesel,Sedan,Automatic,16.44,5,22.69,bangalore
Petrol,SUV,Manual,8.95,5,17.0,bangalore
Petrol,Hatchback,Manual,3.5,5,20.36,bangalore
Diesel,Sedan,Manual,5.5,5,22.32,bangalore
Diesel,SUV,Automatic,7.5,7,11.4,bangalore
Petrol,Hatchback,Manual,5.81,5,20.89,bangalore
