ft,bt,transmission,ownerNo,oem,model,modelYear,price,Fuel Type,Seats,Kms Driven,Transmission,Mileage
Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2019,29.9,Diesel,7,79000,Automatic,12.62
Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2015,3.8,Petrol,5,89352,Manual,22.41
Petrol,Sedan,Manual,1,Tata,Tata Tigor,2021,6.89,Petrol,5,38511,Manual,19.28
Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz M-Class,2015,24.0,Diesel,5,54000,Automatic,15.26
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,4.74,Petrol,5,66584,Manual,21.4
Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2017,25.5,Diesel,7,48000,Automatic,10.91
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2020,5.77,Petrol,5,19418,Manual,20.89
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2016,25.5,Petrol,5,72000,Automatic,14.74
Petrol,Sedan,Automatic,1,Toyota,Toyota Yaris,2018,8.95,Petrol,5,23000,Automatic,17.8
Petrol,Sedan,Manual,1,Nissan,Nissan Sunny,2012,2.5,Petrol,5,50000,Manual,16.95
Petrol,Sedan,Manual,1,Honda,Honda City,2021,9.0,Petrol,5,30000,Manual,17.4
Petrol,SUV,Manual,1,Hyundai,Hyundai Venue,2020,6.5,Petrol,5,42000,Manual,17.52
Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2023,11.75,Petrol,5,600,Automatic,20.04
Petrol,Sedan,Manual,3,Chevrolet,Chevrolet Optra,2010,1.86,Petrol,5,30000,Manual,12.9
Petrol,Sedan,Manual,1,Nissan,Nissan Sunny,2012,2.5,Petrol,5,70000,Manual,16.95
Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,4.25,Diesel,5,136288,Manual,22.54
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2015,4.25,Petrol,5,48000,Manual,18.9
